URL,category_code,category_description,date_added,source,notes
shamilonline.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,"blocked, outdated, monitor"
kavkazcenter.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,"website under maintenance, monitor"
2ch.hk,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
navalny.livejournal.com,POLR,Political Criticism,2014-04-15,citizenlab,archive of 2015 and older posts
squarespace.com,COMM,E-commerce,2014-04-15,citizenlab,
jw.orgen,REL,Religion,2014-04-15,citizenlab,
mhg.ru,HUMR,Human Rights Issues,2014-04-15,citizenlab,
putin-itogi.ru,POLR,Political Criticism,2014-04-15,citizenlab,critical of Putin
pravdaoputine.ru,POLR,Political Criticism,2014-04-15,citizenlab,
adengo.ru,COMM,E-commerce,2014-04-15,citizenlab,like kijiji
fast-die.kiev.ua,PUBH,Public Health,2014-04-15,citizenlab,
lib.rus.ec,FILE,File-sharing,2014-04-15,citizenlab,books sharing platform
lurkmore.to,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Russia version of Wikipedia
porjati.net,NEWS,News Media,2014-04-15,citizenlab,
shram.kiev.ua,NEWS,News Media,2014-04-15,citizenlab,
zhurnal.lib.ru,CULTR,Culture,2014-04-15,citizenlab,samiizdat journal
adagamov.info,NEWS,News Media,2014-04-15,citizenlab,ppersonal blog
genderandaids.unwomen.orgen,IGO,Intergovernmental Organizations,2014-04-15,citizenlab,
lgbt-grani.livejournal.com,LGBT,LGBT,2014-04-15,citizenlab,archive of LGBT project
rutracker.orgforumindex.php,FILE,File-sharing,2014-04-15,citizenlab,largest torrent sharing service
xgay.ru,LGBT,LGBT,2014-04-15,citizenlab,
kazak-chita.ru,COMM,E-commerce,2014-04-15,citizenlab,
yandex.ru,SRCH,Search Engines,2014-04-15,citizenlab,and popular email service
6ott-mit-uns.livejournal.com,CULTR,Culture,2014-04-15,citizenlab,
aplaycasino.comen?get=1&r_visit=05aafbcd3a3b82d1967a38ea229def26&ref=azn1&vid=1523669896,GMB,Gambling,2014-04-15,citizenlab,
flibusta.is,MMED,Media sharing,2014-04-15,citizenlab,books sharing platform
v.growerz.club,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,online canabis store
kavkazcenter.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
pornolab.netforumindex.php,PORN,Pornography,2014-04-15,citizenlab,
rbth.comlgbt-in-russia,LGBT,LGBT,2014-04-15,citizenlab,"sporadically updated, monitor"
roskomsvoboda.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,largest digital rights org in Russia
video-one.comcavideosnew1,PORN,Pornography,2014-04-15,citizenlab,
business-humanrights.orgenmajor-sporting-eventsrussia-human-rights-abuses-related-to-2014-winter-olympic-games-in-sochi,HUMR,Human Rights Issues,2014-04-15,citizenlab,
goldfishka66.com,GMB,Gambling,2014-04-15,citizenlab,
hrw.orgreport20130206race-bottomexploitation-migrant-workers-ahead-russias-2014-winter-olympic-games,HUMR,Human Rights Issues,2014-04-15,citizenlab,Sochi Olympycs
hrw.orgvideo-photosinteractive20130201people-and-power-2014-sochi-olympics,HUMR,Human Rights Issues,2014-04-15,citizenlab,Sochi Olympycs
indiegogo.comprojectsknow-sochi-olympics-on-the-land-of-genocide#,HUMR,Human Rights Issues,2014-04-15,citizenlab,
ispovednik.org,REL,Religion,2014-04-15,citizenlab,site of Russian Orthodox church
kavkazweb.net,NEWS,News Media,2014-04-15,citizenlab,
lgbti-ep.eu,LGBT,LGBT,2014-04-15,citizenlab,
putinbog.wordpress.com,POLR,Political Criticism,2014-04-15,citizenlab,"blocked, outdated, keep monitoring"
eurasia.amnesty.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
cannabisnature.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,about cannabis
echo.msk.ru,NEWS,News Media,2014-04-15,citizenlab,popular Russian radio station
freedomhouse.orgrussia-eve-sochi,HUMR,Human Rights Issues,2014-04-15,citizenlab,
inosmi.ru,NEWS,News Media,2014-04-15,citizenlab,
legalrc.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
opervzakone.livejournal.com,NEWS,News Media,2014-04-15,citizenlab,personal blog
passiya.com,DATE,Online Dating,2014-04-15,citizenlab,
pictureview.com,MMED,Media sharing,2014-04-15,citizenlab,
psyplants.info,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
tvrain.ru,NEWS,News Media,2014-04-15,citizenlab,critical TV station
gazeta.ru,NEWS,News Media,2014-04-15,citizenlab,
hro.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Since 2018 - archive of materials on human righhts issues
hunafa.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,blocked
ichkeria.info,NEWS,News Media,2014-04-15,citizenlab,
lotoru.com,GMB,Gambling,2014-04-15,citizenlab,
russiancasino.com,GMB,Gambling,2014-04-15,citizenlab,
svoboda.org,NEWS,News Media,2014-04-15,citizenlab,Radio Freedom service
yabloko.ru,POLR,Political Criticism,2014-04-15,citizenlab,political party site
rferl.org,NEWS,News Media,2017-09-17,igorv,Radio Freedom - English service
radiosvoboda.org,NEWS,News Media,2017-09-17,igorv,Radio Freedom - Ukraine service
graniru.org,NEWS,News Media,2017-09-28,igorv,critical medium
facebook.comGraniRu,NEWS,News Media,2017-09-28,igorv,for control purposes
vk.comgrani_ru,NEWS,News Media,2017-09-28,igorv,
twitter.comGraniTweet,NEWS,News Media,2017-09-28,igorv,for control purposes
facebook.comKasparov.Ru,NEWS,News Media,2017-09-28,igorv,
twitter.comkasparovru,NEWS,News Media,2017-09-28,igorv,for control purposes
20khvylyn.com,NEWS,News Media,2017-09-28,igorv,
obozrevatel.ru,NEWS,News Media,2017-09-28,igorv,
uapolitics.com,POLR,Political Criticism,2017-09-28,igorv,Ukrainina resource
ua.krymr.com,NEWS,News Media,2017-09-28,igorv,RFERL Ukrainian service for Crimea
noblockme.ru,ANON,Anonymization and circumvention tools,2017-09-28,igorv,
navalny.com,POLR,Political Criticism,2017-09-28,igorv,
vk.comnavalny,POLR,Political Criticism,2017-09-28,igorv,
kinozal.tv,FILE,File-sharing,2017-09-28,igorv,
kinovolt.ru,FILE,File-sharing,2017-09-28,igorv,
new-rutor.org,FILE,File-sharing,2017-09-28,igorv,
tushkan.club,FILE,File-sharing,2017-09-28,igorv,
sobytiya.info,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
hromadske.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
hromadske.dn.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
segodnya.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
glavcom.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
censor.net.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
5.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
facebook.comnavalny,POLR,Political Criticism,2017-09-28,igorv,Navalny's channel - for control purposes
youtube.comchannelUCsAw3WynQJMm7tMy093y37A,POLR,Political Criticism,2017-09-28,igorv,Navalny's channel
deti-404.com,LGBT,LGBT,2017-09-28,igorv,monitor
ej.ru,POLR,Political Criticism,2017-09-28,igorv,blocked critical resource
sprotyv.info,NEWS,News Media,2017-09-28,igorv,old domain
bluesystem.ru,LGBT,LGBT,2017-09-28,igorv,"blocked, monitor, redirects to porn site"
seedoff.zannn.top,FILE,File-sharing,2017-09-28,igorv,
rutracker.orgforumindex.php,FILE,File-sharing,2017-09-28,igorv,most popular torrent tracker
fergananews.com,NEWS,News Media,2017-09-28,igorv,Archive of Fregana News
liga.net,NEWS,News Media,2017-09-28,igorv,
uainfo.org,NEWS,News Media,2017-09-28,igorv,
glavpost.com,NEWS,News Media,2017-09-28,igorv,
24tv.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
maidan.org.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
glavnoe.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
blackseanews.net,NEWS,News Media,2017-09-28,igorv,Blocked in Crimea
uacrisis.org,NEWS,News Media,2017-10-15,igorv,
meydan.fmua,NEWS,News Media,2017-10-15,igorv,Blocked in Crimea
investigator.org.ua,POLR,Political Criticism,2017-10-15,igorv,Blocked in Crimea
1plus1.ua,NEWS,News Media,2017-10-15,igorv,Blocked in Crimea
facebook.comatrchannel,NEWS,News Media,2017-10-15,igorv,Blocked in Crimea - control purposes
twitter.comATR__Official,NEWS,News Media,2017-10-15,igorv,targeted in Crimea
youtube.comcATRChannel2015,NEWS,News Media,2017-10-15,igorv,targeted in Crimea
twitter.com15_minut,NEWS,News Media,2017-10-15,igorv,targeted in Crimea
blackseatv.com,NEWS,News Media,2017-10-15,igorv,Blocked in Crimea
qha.com.ua,NEWS,News Media,2017-10-15,igorv,Blocked in Crimea
atr.ua,NEWS,News Media,2017-10-15,igorv,Blocked in Crimea
nr2.com.ua,NEWS,News Media,2017-10-15,igorv,Blocked in Crimea
doovi.comvideoposlednie-sobytiya-islyamov-o-krymskotatarskom-batalone-energeticheskoi-blokade9siLUt8iuJE,NEWS,News Media,2017-11-22,oonitarian,
factograph.info,POLR,Political Criticism,2017-12-03,minjust.ru,
team29.org,HUMR,Human Rights Issues,2017-12-03,-,
ovdinfo.org,HUMR,Human Rights Issues,2017-12-03,-,
currenttime.tv,NEWS,News Media,2017-12-12,minjust.ru,RFERL program for Russia
azatliq.org,NEWS,News Media,2017-12-12,minjust.ru,RFERL Tatar service
sibreal.org,NEWS,News Media,2017-12-12,minjust.ru,Siberia Realii
idelreal.org,NEWS,News Media,2017-12-12,minjust.ru,RFERL service Russia region
ru.krymr.com,NEWS,News Media,2017-12-12,minjust.ru,RFERL radio service for Crimea (RU language)
kavkazr.com,NEWS,News Media,2017-12-12,minjust.ru,Caucasus Realii
golos-ameriki.ru,NEWS,News Media,2017-12-12,minjust.ru,
khodorkovsky.ru,POLR,Political Criticism,2017-12-12,roskomsvoboda,blocked site of political opponent of Putin
openuni.io,POLR,Political Criticism,2017-12-12,roskomsvoboda,Open University site - temporaly blocked in the past
imrussia.orgru,POLR,Political Criticism,2017-12-12,roskomsvoboda,
mdif.org,NEWS,News Media,2017-12-12,roskomsvoboda,blocked
blackseango.org,POLR,Political Criticism,2017-12-12,roskomsvoboda,
or.team,POLR,Political Criticism,2017-12-12,roskomsvoboda,Open Russia movemnet terminated in 2019. Site inactive. Monitor
usrf.us,POLR,Political Criticism,2017-12-12,roskomsvoboda,US foundation - blocked
play.google.comstoreappsdetails?id=com.linkedin.android,GRP,Social Networking,2017-12-14,OONI,LinkedIn app. Reportedly blocked
youtube.comuseropenrussia2014,NEWS,News Media,2017-12-14,OONI,Open Russia channel. Ordered to get blocked
twitter.comopenrussia_org,NEWS,News Media,2017-12-14,OONI,Ordered to get blocked
youtube.comchannelUC5DWMy_XjL3v3VfLIZFZvpw,CULTR,Culture,2017-12-14,OONI,Reportedly blocked
imrussia.orgen,HUMR,Human Rights Issues,2017-12-16,oonitarian,foreign agent law
openrussia.org,NEWS,News Media,2017-12-16,oonitarian,foreign agent law
ov.openrussia.org,HUMR,Human Rights Issues,2017-12-16,oonitarian,"foreign agent law, project put on hold"
youtube.comwatch?time_continue=850&v=RQZr2NgKPiU,POLR,Political Criticism,2018-02-10,igorv,corruption scandal video
ok.ru,GRP,Social Networking,2018-02-23,igorv,one of most popular social networking platforms
kerch.com,NEWS,News Media,2018-02-23,igorv,"Blocked in Crimea, page under construction"
ru.wiktionary.org,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
tr.wikipedia.org,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
uk.wikipedia.org,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
ru.rfi.fr,NEWS,News Media,2018-09-13,OONI,
bbc.comrussian,NEWS,News Media,2018-09-13,OONI,
dw.comru,NEWS,News Media,2018-09-13,OONI,
ru.m.wikipedia.org,CULTR,Culture,2019-02-19,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
b.growerz.online,ALDR,Alcohol & Drugs,2019-05-25,Netalitica,
cameleo.xyz,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
freeproxy.ru,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
mysites.ru,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
2ip.ruanonim,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
browsec.com,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
deeprism.com,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
fri-gate.orgru,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
hidemy.nameru,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
jino.ru,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,Domain registration service
leader.rusecure,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,reportedly blocked in KZ
netmap.suproxy,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
anonymox.net,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
avast.rusecureline-vpn#pc,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
passport.yandex.ru,COMT,Communication Tools,2019-05-25,Netalitica,
samlib.ru,CULTR,Culture,2019-05-25,Netalitica,Samizdat journal
zagony.ru,CULTR,Culture,2019-05-25,Netalitica,blocked in KZ
distant.msu.ru,CULTR,Culture,2019-05-25,Netalitica,
proza.ru,CULTR,Culture,2019-05-25,Netalitica,
ru.wikiquote.org,CULTR,Culture,2019-05-25,Netalitica,
mega-intell.ru,COMM,E-commerce,2019-05-25,Netalitica,
gamsoft.ru,GMB,Gambling,2019-05-25,Netalitica,
annacasino.ru,GMB,Gambling,2019-05-25,Netalitica,
stoloto.ru,GMB,Gambling,2019-05-25,Netalitica,Lotto Russia
fairhost.ru,HOST,Hosting and Blogging Platforms,2019-05-25,Netalitica,
russia.googleblog.com,HOST,Hosting and Blogging Platforms,2019-05-25,Netalitica,Google's official blog for Russia
liveinternet.ru,HOST,Hosting and Blogging Platforms,2019-05-25,Netalitica,
livejournal.comcommunity,HOST,Hosting and Blogging Platforms,2019-05-25,Netalitica,
amnesty.org.ru,HUMR,Human Rights Issues,2019-05-25,Netalitica,Amnesty page for Eastern Europe and Central Asia
medianet.kz,HUMR,Human Rights Issues,2019-05-25,Netalitica,focus on journalism and freedom of speech in Central Asia
gaia.ru,LGBT,LGBT,2019-05-25,Netalitica,
gay.kz,LGBT,LGBT,2019-05-25,Netalitica,
gayvideo.ru,LGBT,LGBT,2019-05-25,Netalitica,
lesbi.ru,LGBT,LGBT,2019-05-25,Netalitica,
xs.gay.ru,LGBT,LGBT,2019-05-25,Netalitica,
gaycity.love,LGBT,LGBT,2019-05-25,Netalitica,
filex.com,MMED,Media sharing,2019-05-25,Netalitica,"problem loading page, blocked in TM"
ca-news.org,NEWS,News Media,2019-05-25,Netalitica,Central Asia focus
donbass.ua,NEWS,News Media,2019-05-25,Netalitica,Ukrainian news media
gazeta.ru,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet
aif.ru,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet
fresher.ru,NEWS,News Media,2019-05-25,Netalitica,Daily summary of popular Runet content
radiomayak.ru,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet
blogs.voanews.com,NEWS,News Media,2019-05-25,Netalitica,VOA blog
centrasia.org,NEWS,News Media,2019-05-25,Netalitica,Central Asia regional news
centre1.com,NEWS,News Media,2019-05-25,Netalitica,Central Asia focus
eurasianet.org,NEWS,News Media,2019-05-25,Netalitica,
hronikatm.com,NEWS,News Media,2019-05-25,Netalitica,Critical Turkmen medium
iz.ru,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet
apn.ru,NEWS,News Media,2019-05-25,Netalitica,
novayagazeta.ru,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet
themoscowtimes.com,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet
bride.ru,DATE,Online Dating,2019-05-25,Netalitica,
top.jdu.ru,DATE,Online Dating,2019-05-25,Netalitica,
top.jdu.ruensearch.phtml,DATE,Online Dating,2019-05-25,Netalitica,
carnegie.ru,POLR,Political Criticism,2019-05-25,Netalitica,
moviesarena.com,PORN,Pornography,2019-05-25,Netalitica,
otbm.com,PORN,Pornography,2019-05-25,Netalitica,
pornoelena.net,PORN,Pornography,2019-05-25,Netalitica,
almatinki.com,PROV,Provocative Attire,2019-05-25,Netalitica,
buddhist.ru,REL,Religion,2019-05-25,Netalitica,
islam.plusru,REL,Religion,2019-05-25,Netalitica,
islam.ru,REL,Religion,2019-05-25,Netalitica,
islam.ru,REL,Religion,2019-05-25,Netalitica,
jw.org,REL,Religion,2019-05-25,Netalitica,
filesearch.ru,SRCH,Search Engines,2019-05-25,Netalitica,
ca.yahoo.com,SRCH,Search Engines,2019-05-25,Netalitica,
google.ru,SRCH,Search Engines,2019-05-25,Netalitica,
spid.centerru,XED,Sex Education,2019-05-25,Netalitica,
nkr.am,MILX,Terrorism and Militants,2019-05-25,Netalitica,
nkrusa.org,MILX,Terrorism and Militants,2019-05-25,Netalitica,
pkkonline.org,MILX,Terrorism and Militants,2019-05-25,Netalitica,
namba.kz,FILE,File-sharing,2019-05-25,Netalitica,Kazakh torrent-tracker
rutracker.orgforumindex.php,FILE,File-sharing,2019-05-25,Netalitica,largest Russian torrent sharing service
imrussia.org,HUMR,Human Rights Issues,2019-05-25,Netalitica,blocked
mbk.news,NEWS,News Media,2019-05-25,Netalitica,blocked
blackseango.org,HUMR,Human Rights Issues,2019-05-25,Netalitica,Black Sea NGOs - blocked
pushkindol.ru,HUMR,Human Rights Issues,2019-05-25,Netalitica,blocked page
artnet.comartistsjock-sturges,CULTR,Culture,2019-05-25,Netalitica,reportedly blocked article on US photographer
artsy.netartistjock-sturges,CULTR,Culture,2019-05-25,Netalitica,
kinogoo.cc,FILE,File-sharing,2019-05-25,Netalitica,torrent tracker - blocked
kinokrad.co,FILE,File-sharing,2019-05-25,Netalitica,torrent tracker - blocked
serialu.club,FILE,File-sharing,2019-05-25,Netalitica,torrent tracker - blocked
bigcinema-hd.me,FILE,File-sharing,2019-05-25,Netalitica,torrent tracker - blocked
baskino.me,FILE,File-sharing,2019-05-25,Netalitica,torrent tracker - blocked
openinform.ru,NEWS,News Media,2019-05-25,Netalitica,
agora.legal,HUMR,Human Rights Issues,2019-05-25,Netalitica,critical of authorities
radiosvoboda.orgradioschedule86,NEWS,News Media,2019-05-27,Netalitica,RFERL radion Ukrainian service
ua.krymr.comradioschedule101,NEWS,News Media,2019-05-29,Netalitica,RFERL radio service for Crimea (UA language)
ru.krymr.comradioschedule103,NEWS,News Media,2019-05-31,Netalitica,RFERL service for Russia
currenttime.tvtvschedule92,NEWS,News Media,2019-06-02,Netalitica,RFERL radio program for Russia
svoboda.orgradioschedule81,NEWS,News Media,2019-06-04,Netalitica,Radio Freedom Russia
severreal.org,NEWS,News Media,2019-06-04,Netalitica,Sever Realii
azadliq.org,NEWS,News Media,2019-06-04,Netalitica,RFERL Azerbaijan (small Azerbaijani minority in RU)
azattyq.org,NEWS,News Media,2019-06-04,Netalitica,RFERL Kazakhstan (small Kazakh minority in RU)
vesti.ru,NEWS,News Media,2019-06-04,Netalitica,
smi2.ru,NEWS,News Media,2019-06-04,Netalitica,
mk.ru,NEWS,News Media,2019-06-04,Netalitica,
rusvesna.su,NEWS,News Media,2019-06-04,Netalitica,focus on politics
ngs.ru,NEWS,News Media,2019-06-04,Netalitica,
politikus.ru,NEWS,News Media,2019-06-04,Netalitica,focus on politics
svpressa.ru,NEWS,News Media,2019-06-04,Netalitica,
rosbalt.ru,NEWS,News Media,2019-06-04,Netalitica,
rusplt.ru,NEWS,News Media,2019-06-04,Netalitica,
m24.ru,NEWS,News Media,2019-06-04,Netalitica,
vedomosti.ru,NEWS,News Media,2019-06-04,Netalitica,
russian7.ru,NEWS,News Media,2019-06-04,Netalitica,
ru.wikisource.org,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
ru.m.wikisource.org,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
fast-die.github.io,COMM,E-commerce,2019-08-06,,Suicidal content. GitHub government takedown notice from 2015-07-22
raw.githubusercontent.combcnv001cnfgmastersourcessources_enc.json,FILE,File-sharing,2019-08-06,,GitHub government takedown notice from 2017-08-18
github.comdonkabanXShotblobmastersuicide.txt,PUBH,Public Health,2019-08-06,,Suicidal content. GitHub government takedown notice from 2019-07-25
gist.github.comojabb6345333147279321f1d,PUBH,Public Health,2019-08-06,,Suicidal content. GitHub government takedown notice from 2019-07-25
thesnipergodproxy.github.ioruanonymizer,ANON,Anonymization and circumvention tools,2019-08-06,,GitHub government takedown notice from 2019-07-31
cherurg.github.ioinvesting-coins,ECON,Economics,2019-08-06,,Cryptocurrency article. GitHub government takedown notice from 2019-08-05
mdz-rus.github.io,PUBH,Public Health,2019-08-06,,Under construciton - moniitor. GitHub government takedown notice from 2018-10-24
leonaccess.github.io,GMB,Gambling,2019-08-06,,Site not accessible. GitHub government takedown notice from 2017-04-13
censor.net.ua,NEWS,News Media,2019-08-15,Netalitica,Ukrainian medium - blocked in Russia
utronews.org,NEWS,News Media,2019-08-15,Netalitica,Liberal Russian media - blocked in Russia
15minut.org,NEWS,News Media,2019-08-15,Netalitica,Tatar minority medium - blocked in Russia
fergana.news,NEWS,News Media,2019-08-15,Netalitica,Central Asia regional medium
meduza.io,NEWS,News Media,2019-08-15,Netalitica,Liberal Russian media - blocked in Kazakhstan
kasparov.ru,POLR,Political Criticism,2019-08-15,Netalitica,Russian opposition leader - blocked in Russia.
khodorkovsky.ru,POLR,Political Criticism,2019-08-15,Netalitica,Russian opposition leader - blocked in Russia.
vozrojdenie.crimea.uaindex.php,MILX,Terrorism and Militants,2019-08-15,Netalitica,
moscow.craigslist.org,COMM,E-commerce,2019-11-15,Netalitica,classifieds Moscow
stpetersburg.craigslist.org,COMM,E-commerce,2019-11-15,Netalitica,classifieds Peterburg
gde.ru,COMM,E-commerce,2019-11-15,Netalitica,classifieds
doski.ru,COMM,E-commerce,2019-11-15,Netalitica,classifieds
chezasite.com,NEWS,News Media,2019-11-15,Netalitica,technology news
1tv.ru,NEWS,News Media,2019-11-15,Netalitica,popular Russian TV channel
ntv.ru,NEWS,News Media,2019-11-15,Netalitica,popular Russian TV channel
tnt-online.ru,NEWS,News Media,2019-11-15,Netalitica,popular Russian TV channel
tvc.ru,NEWS,News Media,2019-11-15,Netalitica,popular Russian TV channel
ntvplus.ru,NEWS,News Media,2019-11-15,Netalitica,popular Russian TV channel
ctc.ru,NEWS,News Media,2019-11-15,Netalitica,Russian TV channel
friday.ru,NEWS,News Media,2019-11-15,Netalitica,Russian TV channel
piter.tv,NEWS,News Media,2019-11-15,Netalitica,Russian TV channel
5-tv.ru,NEWS,News Media,2019-11-15,Netalitica,Russian TV channel
pravda-tv.ru,NEWS,News Media,2019-11-15,Netalitica,Russian TV channel
etvnet.com,NEWS,News Media,2019-11-15,Netalitica,online TV and Radio channels agregator
woman.ru,NEWS,News Media,2019-11-15,Netalitica,Russian joournal for women
wonderzine.com,NEWS,News Media,2019-11-15,Netalitica,Russian joournal for women
tochka.net,NEWS,News Media,2019-11-15,Netalitica,Russian joournal for women
womanadvice.ru,NEWS,News Media,2019-11-15,Netalitica,Russian joournal for women
cosmo.ru,NEWS,News Media,2019-11-15,Netalitica,Cosmopolitan in Russian
elle.ru,NEWS,News Media,2019-11-15,Netalitica,Elle in Russian
kleo.ru,NEWS,News Media,2019-11-15,Netalitica,Russian joournal for women
esquire.ru,NEWS,News Media,2019-11-15,Netalitica,Russian joournal for men
gq.ru,NEWS,News Media,2019-11-15,Netalitica,Russian joournal for men
maximonline.ru,NEWS,News Media,2019-11-15,Netalitica,Russian joournal for men
mhealth.ru,NEWS,News Media,2019-11-15,Netalitica,Russian joournal for men
politobzor.net,NEWS,News Media,2019-11-15,Netalitica,focus on politics
politnavigator.net,NEWS,News Media,2019-11-15,Netalitica,focus on politics
novorosinform.org,NEWS,News Media,2019-11-15,Netalitica,focus on politics
sputnikipogrom.com,NEWS,News Media,2019-11-15,Netalitica,focus on politics
voicesevas.ru,NEWS,News Media,2019-11-15,Netalitica,focus on politics
stopfake.orgruglavnaya-2,NEWS,News Media,2019-11-15,Netalitica,Stop fake Russia
cont.ws,NEWS,News Media,2019-11-15,Netalitica,focus on politics
babyplan.ru,XED,Sex Education,2019-11-15,Netalitica,
